x1,x2,x3,s,y
-1.118319,2.355263,-2.821394,1.000000,1
-0.156042,-0.288367,-0.647267,1.000000,1
-2.098492,-1.418002,-0.034753,0.000000,0
-1.406496,1.128620,1.133755,1.000000,0
0.476494,0.402233,0.789206,0.000000,0
-0.212471,-0.122077,0.309761,0.000000,0
0.765807,0.520370,1.333286,0.000000,0
-1.032871,-0.390588,2.611323,0.000000,0
-0.332127,-0.475968,-0.395321,0.000000,0
-1.478421,-0.507655,0.069155,0.000000,0
0.053586,-1.011459,0.717031,0.000000,0
0.383401,-1.699875,-0.003541,0.000000,0
2.115091,-1.019116,-0.876862,1.000000,1
0.364494,-0.943918,-1.227685,1.000000,1
1.308428,-0.809811,-0.596868,1.000000,1
0.241734,0.467801,2.174493,0.000000,0
-0.145362,0.010786,0.721593,0.000000,0
0.616135,-0.198823,1.048975,1.000000,1
0.523069,-0.954427,-1.460731,1.000000,1
-0.796579,-1.102304,-0.686637,0.000000,0
-1.508615,-0.499279,-0.710301,0.000000,0
-1.437590,-1.118633,0.842856,1.000000,1
-0.806587,-1.210515,0.326549,0.000000,0
-0.583127,0.223572,-0.503256,0.000000,0
-0.737741,-0.989879,1.532788,1.000000,0
-0.624305,-0.288438,0.512122,0.000000,0
0.421148,0.306055,1.708356,0.000000,0
0.739529,0.641824,-1.209348,1.000000,1
-1.714158,0.412625,-2.111061,1.000000,1
-0.158124,-1.639952,-0.097206,0.000000,0
-1.595782,1.702536,2.016163,0.000000,0
1.266705,0.477743,-0.145759,0.000000,0
0.515714,0.303402,-0.008799,1.000000,1
-0.647479,0.018528,-0.613819,0.000000,0
-0.757488,-0.961003,0.173233,0.000000,0
1.092888,0.097216,-1.437283,1.000000,1
-1.204152,0.657120,-2.266686,0.000000,0
0.955490,1.330574,1.965830,1.000000,1
-0.704305,0.457691,-1.131303,0.000000,0
-1.535584,0.575955,-2.307501,1.000000,1
-0.359571,-0.064502,-0.280269,0.000000,0
-1.168728,-0.399606,1.111729,0.000000,0
0.646172,1.071590,0.725252,0.000000,0
0.847396,0.270862,-1.811272,1.000000,1
0.693441,0.119643,0.540153,0.000000,0
0.600107,-0.088880,0.565270,0.000000,0
-0.005833,0.422450,-0.841575,1.000000,1
0.487261,-1.988404,-0.634803,1.000000,1
0.138683,1.401813,1.210115,1.000000,1
-2.347301,-0.559395,0.281052,0.000000,0
-1.024078,0.625018,1.446828,0.000000,0
0.624824,0.123481,0.002307,0.000000,0
-2.013085,-1.109435,0.349815,0.000000,0
0.463619,-0.103756,2.235476,0.000000,0
-1.754009,-0.633545,0.457458,0.000000,0
-0.314287,-0.753590,-0.353597,0.000000,0
1.053413,1.482627,2.913206,0.000000,0
-0.356952,1.452371,1.249512,1.000000,1
0.287513,0.159341,0.412965,1.000000,1
-0.210087,1.776843,0.502564,1.000000,1
1.532969,-1.110993,-0.143631,1.000000,1
1.093693,-0.270801,-0.383811,0.000000,0
1.986142,1.399167,-0.928294,1.000000,1
-1.102132,-1.233738,2.082807,1.000000,1
0.346883,-0.670269,-1.550693,1.000000,1
-0.682121,-0.364374,-0.363952,0.000000,0
0.323822,-0.176260,-0.020895,1.000000,1
1.238614,-0.589489,0.289116,1.000000,1
0.724712,-0.294684,0.498988,0.000000,0
-0.148469,-0.282954,-0.328818,1.000000,1
-0.309668,-1.168141,0.117063,0.000000,0
1.694310,-0.190731,1.297408,1.000000,1
1.461819,-0.022390,0.272387,1.000000,1
0.950961,0.308825,-0.627836,0.000000,0
