id,account,observed_at,recorded_at,quantity,unit,corrects
a01,ACC-1001,2026-07-02T00:00:00Z,2026-07-02T06:00:00Z,120.5,kWh,
a02,ACC-1001,2026-07-09T00:00:00Z,2026-07-09T06:00:00Z,133.0,kWh,
a03,ACC-1002,2026-07-03T00:00:00Z,2026-07-03T06:00:00Z,318000,Wh,
a04,ACC-1002,2026-07-17T00:00:00Z,2026-07-18T06:00:00Z,240.25,kWh,
a05,ACC-1003,2026-07-05T00:00:00Z,2026-07-05T06:00:00Z,88.0,kWh,
a06,ACC-1003,2026-07-05T00:00:00Z,2026-08-02T09:00:00Z,96.5,kWh,a05
a07,ACC-1004,2026-07-11T00:00:00Z,2026-07-11T06:00:00Z,610.0,kWh,
a08,ACC-1004,2026-07-12T00:00:00Z,2026-07-12T06:00:00Z,not-a-number,kWh,
a09,ACC-1005,2026-07-14T00:00:00Z,2026-07-14T06:00:00Z,45.0,MJ,
a10,ACC-1005,2026-07-15T00:00:00Z,2026-07-15T06:00:00Z,512000,Wh,
